indice,eigenvalor
1,0.0031523977371088656
2,0.0007908169554295947
3,0.0006802282929769473
4,0.0005337987607460677
5,0.00048226063892887317
6,0.0004536533694400692
7,0.0004413297039224333
8,0.00041994775880282184
9,0.00041234811362520976
10,0.0003937685640261289
11,0.00036632036811400597
12,0.00034711482876944135
13,0.00032971958199783276
14,0.00031484480762395187
15,0.00029083316146557957
16,0.0002826843873116252
17,0.0002708820294470717
18,0.00026596824749429567
19,0.00026029275965916133
20,0.0002461207874898565
21,0.0002439858045578989
22,0.00023515289920329844
23,0.00023307559903018544
24,0.00021961178651948377
25,0.00021267792522834415
26,0.0002062375123563777
27,0.0002048439373679815
28,0.00020208493683917793
29,0.0001919996857616482
30,0.0001895783367438789
31,0.00018105731476072777
32,0.00017450466665107933
33,0.00017304339674456873
34,0.00016298778240602746
35,0.000157271213480533
36,0.00014518769874295116
37,0.00012339282643267896
38,0.00011413382279332574
